Nama Perusahaan,Termin,Pekerjaan,Fee,BULAN,WEEK,ESTIMASI CASH IN,PIC
PT Prodia Widyahusada Tbk,Lumpsum,Q2 2025,"50,000,000",JULI,MINGGU 4,AGUSTUS,SALLY
PT Prodia Widyahusada Tbk,Lumpsum,Q3 2025,"50,000,000",OKTOBER,MINGGU 4,NOVEMBER,SALLY
PT Prodia Widyahusada Tbk,Lumpsum,Q4 2025,"50,000,000",2026,2026,2026,SALLY
PT Prima Cipta Selaras,Second,audit 31 des 2024,"48,500,000",MARET,MINGGU 1,APRIL,GRESSY
PT Waskita Karya Realti,Third,Audit 31 Des 2024,"47,124,000",MARET,MINGGU 3,APRIL,NILUH
PT Waskita Karya Realti,Final,Audit 31 Des 2024,"47,124,000",APRIL,MINGGU 3,MEI,NILUH
PT Armada Gema Nusantara,Second,Audit 31 Des 2024,"45,000,000",MARET,MINGGU 2,APRIL,KIKI
PT Triswardana Utama,Second,pendampingan pemeriksaan all taxes periode tahun 2023,"44,000,000",MARET,MINGGU 3,APRIL,ELIN
Bank DKI,Fifth,due diligence bank malut,"40,990,991",OKTOBER,MINGGU 3,NOVEMBER,ELIN
ITDC,Final,Amandemen duedill,"40,000,000",MARET,MINGGU 3,APRIL,HABIL
PT D&V International Makmur Gemilang,Second,"Implementasi PSAK 71, 72, 73 per 31 des 2024","39,500,000",APRIL,MINGGU 4,MEI,"SALLY,VERO,ANDINI"
PT Surya Bali Makmur,Second,"Implementasi PSAK 71, 72, 73 per 31 des 2024","39,500,000",APRIL,MINGGU 4,MEI,"SALLY,VERO,ANDINI"
PT Trakindo Utama,Final,Pendampingan banding Pajak 2016,"39,000,000",JUNI,MINGGU 2,JULI,ELIN
PT Pembangunan Graha Lestari Indah,Final,Audit 31 Desember 2024,"38,000,000",APRIL,MINGGU 2,MEI,KIKI
Mandara Spa Indonesia,Second,Audit 31 Desember 2024,"37,500,000",MARET,MINGGU 2,APRIL,GRESSY
PT Pertamina Pedeve Indonesia,Second,Audit 31 Des 2024,"37,500,000",MARET,MINGGU 1,APRIL,LINA
PT Pertamina Pedeve Indonesia,Final,Audit 31 Des 2024,"37,500,000",MARET,MINGGU 2,APRIL,LINA
KSO Parung panjang,Second,Audit 31 Des 2024,"37,500,000",MARET,MINGGU 3,APRIL,TERRY
KSO Sentraland,Second,Audit 31 Des 2024,"37,500,000",MARET,MINGGU 3,APRIL,KIKI
PBKS,Second,"TP Docs 2021,2022,2023","36,000,000",MARET,MINGGU 2,APRIL,ELIN
PBKS,Final,"TP Docs 2021,2022,2023","36,000,000",MARET,MINGGU 3,APRIL,ELIN
PT Tunas Alam Nusantara,Second,audit 31 des 2024,"35,000,000",MARET,MINGGU 1,APRIL,GRESSY
PT Trakindo Utama,Final,Implementasi PSAK 71 per 31 des 2024,"35,000,000",MARET,MINGGU 2,APRIL,"SALLY,VERO,ANDINI"
PT Propernas Nusa Dua,Second,Audit 31 Des 2024,"35,000,000",MARET,MINGGU 3,APRIL,GRESSY
PT Mega Akses Persada,Lumpsum,"Implementasi PSAK 71, 72, 73 Q2 2025","31,000,000",JULI,MINGGU 3,AGUSTUS,"SALLY,VERO,ANDINI"
PT Mega Akses Persada,Lumpsum,"Implementasi PSAK 71, 72, 73 Q3 2025","31,000,000",OKTOBER,MINGGU 3,NOVEMBER,"SALLY,VERO,ANDINI"
PT Mega Akses Persada,Lumpsum,"Implementasi PSAK 71, 72, 73 Q4 2025","31,000,000",2026,2026,2026,"SALLY,VERO,ANDINI"
PTN Group,Final,"PSAK 71,72,73 Des 2024","30,320,000",MEI,MINGGU 3,JUNI,"SALLY,VERO,ANDINI"
PT Java Star Rig,Second,Audit 31 Des 2024,"28,500,000",APRIL,MINGGU 4,MEI,TERRY
PT Atlantic Oilfield Services,Second,Audit 31 Des 2024,"28,500,000",APRIL,MINGGU 4,MEI,TERRY
PT Volac Feed Wilmar Ingredients Indonesia,Second,Audit 31 Des 2024,"27,500,000",MARET,MINGGU 3,APRIL,GRESSY
PT AIDA Indonesia,Final,Audit 31 Mar 2025,"27,000,000",MEI,MINGGU 3,JUNI,GRESSY
PT Industri Nuklir Indonesia,Second,Audit 31 Des 2024,"26,000,000",MARET,MINGGU 3,APRIL,RANGGA
