Nama Perusahaan,Termin,Pekerjaan,Fee,BULAN,WEEK,ESTIMASI CASH IN,PIC
Kop Pusaka Bulau Sahabun,Final,Audit 31 des 2024,"7,000,000",APRIL,MINGGU 3,MEI,GRESSY
Kop Maraga Jaya Bersama,Final,Audit 31 des 2024,"7,000,000",APRIL,MINGGU 3,MEI,GRESSY
Kop Natai Suka Sejahtera,Final,Audit 31 des 2024,"7,000,000",APRIL,MINGGU 3,MEI,GRESSY
PT Daya Lestari,Final,audit 31 des 2024,"6,000,000",MARET,MINGGU 3,APRIL,GRESSY
PT Bahari Pelabuhan Indonesia,Final,Audit 31 Des 2024,"6,000,000",MARET,MINGGU 3,APRIL,GRESSY
PT Waskita Fim Perkasa Realti,Third,Audit 31 Des 2024,"5,040,000",MARET,MINGGU 3,APRIL,NILUH
PT Waskita Fim Perkasa Realti,Final,Audit 31 Des 2024,"5,040,000",APRIL,MINGGU 3,MEI,NILUH
PT Waskita Modern Realti,Third,Audit 31 Des 2024,"5,040,000",MARET,MINGGU 3,APRIL,NILUH
PT Waskita Modern Realti,Final,Audit 31 Des 2024,"5,040,000",APRIL,MINGGU 3,MEI,NILUH
PT Transjawa Paspro Jalan Tol,Third,Audit 31 Des 2024,"5,040,000",MARET,MINGGU 3,APRIL,NILUH
PT Transjawa Paspro Jalan Tol,Final,Audit 31 Des 2024,"5,040,000",APRIL,MINGGU 3,MEI,NILUH
PT Insurindo Interservices,Final,Audit 31 Des 2024,"5,000,000",MARET,MINGGU 3,APRIL,GRESSY
PT Multimineral Trading,Final,Audit 31 Des 2024,"5,000,000",MARET,MINGGU 3,APRIL,GRESSY
Koperasi Banua Raya,Final,audit 31 des 2023,"3,000,000",JUNI,MINGGU 1,JULI,GRESSY
Koperasi Kopbun Paras Daya,Final,audit 31 des 2023,"3,000,000",JUNI,MINGGU 1,JULI,GRESSY
Koperasi Berkat Majujaya Bersama,Final,audit 31 des 2023,"3,000,000",JUNI,MINGGU 1,JULI,GRESSY
Koperasi Maju Jaya Terawan,Final,audit 31 des 2023,"3,000,000",JUNI,MINGGU 1,JULI,GRESSY
Koperasi Perkebunan Tuah Raya Santang Baronas,Final,audit 31 des 2023,"3,000,000",JUNI,MINGGU 1,JULI,GRESSY
Koperasi Produsen Tagani Makmur,Final,audit 31 des 2023,"3,000,000",JUNI,MINGGU 1,JULI,GRESSY
Koperasi Sumber Sejahtera,Final,audit 31 des 2023,"3,000,000",JUNI,MINGGU 1,JULI,GRESSY
Koperasi Unggul Jaya Sejahtera,Final,audit 31 des 2023,"3,000,000",JUNI,MINGGU 1,JULI,GRESSY
Koperasi Perkebunan Masyarakat Adat Suku Sarakwari dan Koroba Kampung Sima,Final,audit 31 des 2023,"3,000,000",JUNI,MINGGU 1,JULI,GRESSY
Koperasi Perkebunan Masyarakat Adat Suku Waoha Kampung Sima,Final,audit 31 des 2023,"3,000,000",JUNI,MINGGU 1,JULI,GRESSY
Koperasi Perkebunan Masyarakat Adat Suku Wate Asiania Kampung Wanggar Pantai,Final,audit 31 des 2023,"3,000,000",JUNI,MINGGU 1,JULI,GRESSY
KSU Mitra Sawit Lestari,Final,audit 31 des 2023,"3,000,000",JUNI,MINGGU 1,JULI,GRESSY
Koperasi Bima Penyang Mandiri,Final,audit 31 des 2023,"3,000,000",JUNI,MINGGU 1,JULI,GRESSY
Koperasi Permata,Final,audit 31 des 2023,"3,000,000",JUNI,MINGGU 1,JULI,GRESSY
Koperasi Produsen Bangkuang Makmur Lestari,Final,audit 31 des 2023,"3,000,000",JUNI,MINGGU 1,JULI,GRESSY
Koperasi Rongkang Jaya Mandiri,Final,audit 31 des 2023,"3,000,000",JUNI,MINGGU 1,JULI,GRESSY
Koperasi Sinar Mentari Pagi,Final,audit 31 des 2023,"3,000,000",JUNI,MINGGU 1,JULI,GRESSY
KSU Haluan Jaya,Final,audit 31 des 2023,"3,000,000",JUNI,MINGGU 1,JULI,GRESSY
KSU Patahu Manuah,Final,audit 31 des 2023,"3,000,000",JUNI,MINGGU 1,JULI,GRESSY
KSU Santuai Jaya,Final,audit 31 des 2023,"3,000,000",JUNI,MINGGU 1,JULI,GRESSY
KSU Tewai Hara Makmur,Final,audit 31 des 2023,"3,000,000",JUNI,MINGGU 1,JULI,GRESSY
PT Karya Prajona Nelayan,Final,Audit 31 Des 2024,"3,000,000",MARET,MINGGU 3,APRIL,GRESSY
PT Wahyu Samudera Indah,Second,Audit 31 Des 2024,"35,000,000",MEI,MINGGU 2,JUNI,KIKI
PT Wahyu Samudera Indah,Final,Audit 31 Des 2024,"14,000,000",MEI,MINGGU 4,JUNI,KIKI
PT Cardig International Dan Entitas Anaknya,Second,Audit 31 Des 2024,"47,500,000",MEI,MINGGU 2,JUNI,TERRY
PT Cardig International Dan Entitas Anaknya,Final,Audit 31 Des 2024,"19,000,000",MEI,MINGGU 4,JUNI,TERRY
PT Cardig International (parent),Second,Audit 31 Des 2024,"15,000,000",APRIL,MINGGU 3,MEI,TERRY
PT Cardig International (parent),Final,Audit 31 Des 2024,"6,000,000",MEI,MINGGU 2,JUNI,TERRY
PT Cardig Garda Utama,Second,Audit 31 Des 2024,"20,000,000",APRIL,MINGGU 3,MEI,TERRY
PT Cardig Garda Utama,Final,Audit 31 Des 2024,"8,000,000",MEI,MINGGU 2,JUNI,TERRY
PT Cardig Express Nusantara,Second,Audit 31 Des 2024,"15,000,000",APRIL,MINGGU 3,MEI,TERRY
PT Cardig Express Nusantara,Final,Audit 31 Des 2024,"6,000,000",MEI,MINGGU 2,JUNI,TERRY
PT Kargo Lintas Global,Second,Audit 31 Des 2024,"7,500,000",APRIL,MINGGU 3,MEI,TERRY
PT Kargo Lintas Global,Final,Audit 31 Des 2024,"3,000,000",MEI,MINGGU 2,JUNI,TERRY
Mitsubishi Tanabe Pharma Indonesia,Final,KPPK 31 Maret 2024,"9,000,000",APRIL,MINGGU 2,MEI,GRESSY
PT Anugrah Bungo Lestari,Final,KPPK 31 Des 2024,"5,000,000",JUNI,MINGGU 2,JULI,GRESSY
PT Bintang Agung Persada,Final,KPPK 31 Des 2024,"5,000,000",JUNI,MINGGU 2,JULI,GRESSY
PT Djambi Waras,Final,KPPK 31 Des 2024,"5,000,000",JUNI,MINGGU 2,JULI,GRESSY
PT Karini Utama,Final,KPPK 31 Des 2024,"5,000,000",JUNI,MINGGU 2,JULI,GRESSY
PT Kirana Musi Persada,Final,KPPK 31 Des 2024,"5,000,000",JUNI,MINGGU 2,JULI,GRESSY
PT Kirana Permata,Final,KPPK 31 Des 2024,"5,000,000",JUNI,MINGGU 2,JULI,GRESSY
PT Kirana Sapta,Final,KPPK 31 Des 2024,"5,000,000",JUNI,MINGGU 2,JULI,GRESSY
PT Kirana Windhu,Final,KPPK 31 Des 2024,"5,000,000",JUNI,MINGGU 2,JULI,GRESSY
PT Komering Jaya Perdana,Final,KPPK 31 Des 2024,"5,000,000",JUNI,MINGGU 2,JULI,GRESSY
PT New Kalbar Processors,Final,KPPK 31 Des 2024,"5,000,000",JUNI,MINGGU 2,JULI,GRESSY
PT Nusira,Final,KPPK 31 Des 2024,"5,000,000",JUNI,MINGGU 2,JULI,GRESSY
PT Pantja Surya,Final,KPPK 31 Des 2024,"5,000,000",JUNI,MINGGU 2,JULI,GRESSY
PT Tirta Sari Surya,Final,KPPK 31 Des 2024,"5,000,000",JUNI,MINGGU 2,JULI,GRESSY
PT UPS Cardig International,Second,Audit 31 Des 2024,"55,000,000",APRIL,MINGGU 2,MEI,RANGGA
PT UPS Cardig International,Final,Audit 31 Des 2024,"22,000,000",MEI,MINGGU 1,JUNI,RANGGA
PT Premium Asia Sun,Second,Audit 31 Des 2024,"38,750,000",APRIL,MINGGU 2,MEI,TERRY
PT Premium Asia Sun,Final,Audit 31 Des 2024,"15,500,000",MEI,MINGGU 1,JUNI,TERRY
PT Trakindo Utama,"First, Second, Final",Sengketa PPn 2024,"1,100,000,000",TUNGGU KONFIRMASI,,TUNGGU KONFIRMASI,ELIN
PT Trakindo Utama,"First, Second, Final",Sengketa PPh 2024,"1,500,000,000",TUNGGU KONFIRMASI,,TUNGGU KONFIRMASI,ELIN
Waskita - BRP JV,Second,Audit 31 Des 2024,"18,000,000",MARET,MINGGU 3,APRIL,STEPHANIE
Waskita - BRP JV,Final,Audit 31 Des 2024,"18,000,000",APRIL,MINGGU 3,MEI,STEPHANIE
BP Kasiba,Second,Audit 31 Des 2024,"15,000,000",MARET,MINGGU 2,APRIL,GRESSY
BP Kasiba,Final,Audit 31 Des 2024,"6,000,000",MARET,MINGGU 3,APRIL,GRESSY
PT Cipta Kridatama,Lumpsum,acc service per Feb 2025,"38,250,000",MARET,MINGGU 3,MEI,MEGA
PT Cipta Kridatama,Lumpsum,acc service per Mar 2025,"38,250,000",APRIL,MINGGU 3,JUNI,MEGA
GHJ Grup,Second,Audit 31 Des 2024,"150,250,000",MARET,MINGGU 3,APRIL,GRESSY
GHJ Grup,Final,Audit 31 Des 2024,"60,100,000",APRIL,MINGGU 2,MEI,GRESSY
Waskita - BRP JV (paket 3),Second,Audit 31 Des 2024,"18,000,000",MARET,MINGGU 2,APRIL,STEPHANIE
Waskita - BRP JV (paket 3),Final,Audit 31 Des 2024,"18,000,000",MARET,MINGGU 2,APRIL,STEPHANIE
