No,Jenis Pekerjaan,Nama Calon Klien,Detail Pekerjaan,  Fee,PIC,confirmed/not confirmed,Notes,
40,CONSULTING,PT Pelni,ICOFR (tahap 2)," Rp 721,981,982 ",ref: pak oni,Target fokus,proses pengadaan akan dilakukan pada bulan maret 2025,
41,CONSULTING,PT Pelni,ICOFR (tahap 3)," Rp 810,000,000 ",ref: pak oni,Target fokus,,
42,CONSULTING,PT Pelni,ICOFR (tahap 4)," Rp 270,000,000 ",ref: pak oni,Target fokus,,
43,CONSULTING,PT Patrajasa,pendampingan penerbitan obligasi," Rp 300,000,000 ",,Pending di Klien,"pendampingan pnerbitan obligasi PT Patra Jasa
Rencana penebitan Obligasi menggunakan buku 31 Desember 2024. Nilai nominal obligasi Rp600 miliar dengan tenor 3-5 tahun
menggunakan angka Des 24 target lisitng utk penawaran Juni 2025
Rating AA+/-
Underwriternay BRI dan Mansec
50% saat first registration. 50% pada saat pernyatan efektif 2",
44,AUDIT,PT Borneo Alumina Indonesia,audit laporan keuangan 31 des 2024,,,To be Confirmed,,
45,CONSULTING,PT Angkasa Pura Indonesia,"Laporan Monitoring Cash Flow Triwulan I, Triwulan II dan Triwulan III tahun 2024 Angkasa Pura Indonesia",,,Pending di Klien,"info dari pak arief, saat ini prosesnya sedang usulkan ke lenders untuk persetujuannya, PRI ada chance 50%",
46,AUDIT,BPD Bali,Audit laporan keuangan,,achmad taufik,Pending di Klien,sudah dilakukan sharing session pada tanggal 23 Des,
47,CONSULTING,PT Garuda Inonesia (Persero) Tbk,ICOFR,,,Target fokus,,
48,CONSULTING,PT Adhi Karya (Persero) Tbk,ICOFR,,bu bonita/ dyah,Target fokus,"saat ini masih fokus dengan agenda lain, kemungkinan pengadaan akan dimulai awal maret 2025",
49,DUE DILIGENCE,Bank BJB,Due diligence pembentukan KUB dgn bank maluku malut,,,Pending di Klien,masih dalam proses diskusi diinternal klien,
50,CONSULTING,PAM Group Tbk,advisor untuk pre IPO ,,ref: pak adji (ex advisor),Pending di Klien,akan dilakukan arrangment jadwal scoping,
51,CONSULTING,PT PLN ICON Plus,ICOFR," Rp 2,300,000,000 ",Fajar,Target fokus,"Scope: mulai dari awal set up BPM,RCM sampai go live ICOFR, secara keseluruhan mencakup ELC, PLC, ITGC",
52,CONSULTING,PT Terminal Curah Utama (grup pelindo),Kajian Bisnis,,,Proses Penyusunan Proposal,saat ini sedang proses diskusi oleh serli dan pak hadi,
53,AUDIT,PT Advantis Mitra Logistic Company,Audit 31 Des 2024,,ref: pak christo,To be Confirmed,klien masih proses pengisian questionaire ,
54,,PT Trakindo,asesmen kontrak panjang,,,Pending di Klien,masih menunggu list kontrak dari mas revan,
55,AUDIT,PT Pupuk Indonesia Pangan,Audit 31 Des 2024," Rp 115,000,000 ",pak deni,Pending di Klien,proposal sudah disampaikan 31 jan saat ini sedang proses pengadaan,
56,CONSULTING,PT PLN Indonesia Power,SPA 3000," Rp 95,000,000 ",,To be Confirmed,"proposal sudah disampaikan, saat ini masih dalam proses evaluasi internal",
57,AUDIT,PT Wana Kencana ,Audit 31 Des 2024," Rp 95,000,000 ",,draf englet proses review klien,Not confirmed,
58,AUDIT,OSO Grup (hotel dan anak perusahaannya),audit konsolidasian 31 des 2024," Rp 225,000,000 ",Pak Chairul Umaiya - Finance Director,To be Confirmed,1 induk dormant dan 2 entitas anak. Harga jasa sudah disampaikan oleh pak ade ke klien,
59,AUP,PT Danareksa Capital,AUP," Rp 240,000,000 ",,Pending di Klien,saat ini sedang proses diskusi internal di klien,
60,SOP,PT Trakindo,SOP treasury,,,To be Confirmed,sedang proses diskusi antara mba yuli dengan klien,
61,DUE DILIGENCE,PT Bank DKI,kajian kelayakan pembukaan cabang baru,,,Proses Penyusunan Proposal,,
62,TAX,Telkomsel Ventures,tax assisstance,,ref: elin,To be Confirmed,akan dilakukan scoping meeting hari senin 17 Feb 2025,
63,CONSULTING,PT LEN Industri,ICOFR ,,Nur Azizah,Target fokus,,
